Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,13:49:15
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:49:15
,合計,,2,0,285,,
,,,,,,,
,TOTAL,,,,285,Line Pay付款,
,發票編號：,VM14253842 ～ VM14253842,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0092,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,13:50:18
3,A0701,A套餐,1,0,48,AP 單品入帳,13:50:18
,合計,,2,0,273,,
,,,,,,,
,TOTAL,,,,273,信用卡付款,
,發票編號：,VM14253843 ～ VM14253843,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0093,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,13:52:30
,合計,,1,0,250,,
,,,,,,,
,TOTAL,,,,250,現金付款,
,發票編號：,VM14253844 ～ VM14253844,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0094,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,13:55:05
2,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,13:55:05
,合計,,2,0,350,,
,,,,,,,
,TOTAL,,,,350,Line Pay付款,
,發票編號：,VM14253845 ～ VM14253845,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0095,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0702,B套餐,1,0,48,AP 單品入帳,13:58:44
4,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,13:58:44
,合計,,2,0,177,,
,,,,,,,
,TOTAL,,,,177,現金付款,
,發票編號：,VM14253846 ～ VM14253846,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0096,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A091001,卡布奇諾冰,1,0,50,AP 單品入帳,14:01:35
,合計,,1,0,50,,
,,,,,,,
,TOTAL,,,,50,現金付款,
,發票編號：,VM14253847 ～ VM14253847,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0097,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,14:02:27
2,A090802,美式咖啡熱,1,0,38,AP 單品入帳,14:02:27
,合計,,2,0,140,,
,,,,,,,
,TOTAL,,,,140,現金付款,
,發票編號：,VM14253848 ～ VM14253848,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0098,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0203,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub,1,0,189,AP 單品入帳,14:11:32
11,U0203,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub,1,0,189,AP 單品入帳,14:11:32
,合計,,2,0,378,,
,,,,,,,
,TOTAL,,,,378,UberEats付款,
,發票編號：,VM14253849 ～ VM14253849,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0099,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020503,鮮嫩雞柳烤餅6吋,1,0,135,AP 單品入帳,14:16:35
3,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,14:16:35
7,A0703,C套餐,1,0,60,AP 單品入帳,14:16:35
,合計,,3,0,320,,
,,,,,,,
,TOTAL,,,,320,現金付款,
,發票編號：,VM14253850 ～ VM14253850,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0100,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,14:21:26
2,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,14:21:26
3,A0701,A套餐,1,0,48,AP 單品入帳,14:21:26
,合計,,3,0,441,,
,,,,,,,
,TOTAL,,,,441,現金付款,
,發票編號：,VM14253851 ～ VM14253851,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0101,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,14:24:47
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,Line Pay付款,
,發票編號：,VM14253852 ～ VM14253852,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0102,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040205,鮪魚沙拉,1,0,163,AP 單品入帳,14:26:11
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,14:26:11
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,14:26:11
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,14:26:11
,合計,,4,0,288,,
,,,,,,,
,TOTAL,,,,288,現金付款,
,發票編號：,VM14253853 ～ VM14253853,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0103,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,14:42:51
,合計,,1,0,198,,
,,,,,,,
,TOTAL,,,,198,現金付款,
,發票編號：,VM14253854 ～ VM14253854,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0104,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,14:45:17
2,A0701,A套餐,1,0,48,AP 單品入帳,14:45:17
,合計,,2,0,183,,
,,,,,,,
,TOTAL,,,,183,信用卡付款,
,發票編號：,VM14253855 ～ VM14253855,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0105,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,105,0,AP 單品入帳,14:49:12
2,A060301,培根1條,1,23,0,AP 單品入帳,14:49:12
3,A060301,培根1條,1,23,0,AP 單品入帳,14:49:12
4,A172801,辣豆瓣嫩牛6吋,1,159,0,AP 單品入帳,14:49:12
5,A060301,培根1條,1,23,0,AP 單品入帳,14:49:12
6,A060601,嫩煎蛋一片,1,35,0,AP 單品入帳,14:49:12
,合計,,6,368,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0106,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,14:54:18
2,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,14:54:18
3,A0814,餅乾1片,1,0,25,AP 單品入帳,14:54:18
,合計,,3,0,299,,
,,,,,,,
,TOTAL,,,,299,現金付款,
,發票編號：,VM14253856 ～ VM14253856,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0107,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,15:04:43
2,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,15:04:43
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,15:04:43
4,A0701,A套餐,1,0,53,AP 單品入帳,15:04:43
,合計,,4,0,328,,
,,,,,,,
,TOTAL,,,,328,信用卡付款,
,發票編號：,VM14253857 ～ VM14253857,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0108,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040205,鮪魚沙拉,1,0,163,AP 單品入帳,15:06:31
2,A020406,照燒雞肉雙份肉料,1,0,55,AP 單品入帳,15:06:31
,合計,,2,0,218,,
,,,,,,,
,TOTAL,,,,218,現金付款,
,發票編號：,VM14253858 ～ VM14253858,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0109,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,15:15:13
2,A050701,鷹嘴豆泥餅堡6吋,1,0,125,AP 單品入帳,15:15:13
3,A0701,A套餐,1,0,65,AP 單品入帳,15:15:13
,合計,,3,0,315,,
,,,,,,,
,TOTAL,,,,315,Line Pay付款,
,發票編號：,VM14253859 ～ VM14253859,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0110,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,15:19:10
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,15:19:10
3,A0814,餅乾1片,1,0,25,AP 單品入帳,15:19:10
,合計,,3,0,188,,
,,,,,,,
,TOTAL,,,,188,Line Pay付款,
,發票編號：,VM14253860 ～ VM14253860,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0111,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,15:19:53
2,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,15:19:53
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,15:19:53
,合計,,3,0,299,,
,,,,,,,
,TOTAL,,,,299,Line Pay付款,
,發票編號：,VM14253861 ～ VM14253861,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0112,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0204,6吋鮪魚潛艇堡 6-Inch Tuna Sub,1,0,208,AP 單品入帳,15:21:49
,合計,,1,0,208,,
,,,,,,,
,TOTAL,,,,208,UberEats付款,
,發票編號：,VM14253862 ～ VM14253862,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0113,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A172801,辣豆瓣嫩牛6吋,1,0,159,AP 單品入帳,15:35:27
2,A0707,G套餐,1,0,65,AP 單品入帳,15:35:27
,合計,,2,0,224,,
,,,,,,,
,TOTAL,,,,224,現金付款,
,發票編號：,VM14253863 ～ VM14253863,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0115,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,209,AP 單品入帳,15:48:37
,合計,,1,0,209,,
,,,,,,,
,TOTAL,,,,209,UberEats付款,
,發票編號：,VM14253864 ～ VM14253864,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0116,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,16:00:54
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,16:00:54
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,16:00:54
4,A0703,C套餐,1,0,60,AP 單品入帳,16:00:54
,合計,,4,0,289,,
,,,,,,,
,TOTAL,,,,289,信用卡付款,
,發票編號：,VM14253865 ～ VM14253865,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0117,,統一編號：,28062907
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,16:05:45
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,16:05:45
3,A0703,C套餐,1,0,72,AP 單品入帳,16:05:45
,合計,,3,0,222,,
,,,,,,,
,TOTAL,,,,222,Line Pay付款,
,發票編號：,VM14253866 ～ VM14253866,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0118,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030301,義大利牛肉丸堡6吋,1,129,0,AP 單品入帳,16:10:04
2,A030306,義大利牛肉丸雙份肉料,1,55,0,AP 單品入帳,16:10:04
3,A020501,鮮嫩雞柳堡6吋,1,125,0,AP 單品入帳,16:10:04
5,A020606,嫩切雞肉雙份肉料,1,55,0,AP 單品入帳,16:10:04
,合計,,4,364,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0119,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,16:11:54
,合計,,1,0,128,,
,,,,,,,
,TOTAL,,,,128,Line Pay付款,
,發票編號：,VM14253867 ～ VM14253867,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0120,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050601,蛋沙拉堡6吋,1,0,120,AP 單品入帳,16:12:55
,合計,,1,0,120,,
,,,,,,,
,TOTAL,,,,120,現金付款,
,發票編號：,VM14253868 ～ VM14253868,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0121,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,16:43:07
3,A030103,厚切嫩牛烤餅6吋,1,0,159,AP 單品入帳,16:43:07
,合計,,2,0,284,,
,,,,,,,
,TOTAL,,,,284,現金付款,
,發票編號：,VM14253869 ～ VM14253869,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0122,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,16:48:41
2,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,16:48:41
,合計,,2,0,450,,
,,,,,,,
,TOTAL,,,,450,信用卡付款,
,發票編號：,VM14253870 ～ VM14253870,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0123,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B218,嫩雞雙饗,1,0,296,AP 單品入帳,17:05:33
,合計,,1,0,296,,
,,,,,,,
,TOTAL,,,,296,FoodPanda付款,
,發票編號：,VM14253871 ～ VM14253871,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0124,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0203,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub,1,0,224,AP 單品入帳,17:08:14
,合計,,1,0,224,,
,,,,,,,
,TOTAL,,,,224,UberEats付款,
,發票編號：,VM14253872 ～ VM14253872,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0125,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,17:14:01
2,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,17:14:01
3,A040205,鮪魚沙拉,1,0,163,AP 單品入帳,17:14:01
4,A0703,C套餐,1,0,55,AP 單品入帳,17:14:01
7,A0703,C套餐,1,0,55,AP 單品入帳,17:14:01
,合計,,5,0,748,,
,,,,,,,
,TOTAL,,,,748,現金付款,
,發票編號：,VM14253873 ～ VM14253873,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0126,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,17:20:58
2,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,17:20:58
,合計,,2,0,288,,
,,,,,,,
,TOTAL,,,,288,信用卡付款,
,發票編號：,VM14253874 ～ VM14253874,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0127,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,17:22:29
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:22:29
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:22:29
,合計,,3,0,338,,
,,,,,,,
,TOTAL,,,,338,現金付款,
,發票編號：,VM14253875 ～ VM14253875,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0128,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,17:23:48
,合計,,1,0,102,,
,,,,,,,
,TOTAL,,,,102,現金付款,
,發票編號：,VM14253876 ～ VM14253876,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0129,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0206,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub,1,0,199,AP 單品入帳,17:24:56
,合計,,1,0,199,,
,,,,,,,
,TOTAL,,,,199,UberEats付款,
,發票編號：,VM14253877 ～ VM14253877,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0130,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,17:26:03
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,Line Pay付款,
,發票編號：,VM14253878 ～ VM14253878,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0131,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,17:40:45
2,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,17:40:45
3,A081201,3塊鷹嘴豆泥餅,1,0,55,AP 單品入帳,17:40:45
,合計,,3,0,322,,
,,,,,,,
,TOTAL,,,,322,信用卡付款,
,發票編號：,VM14253881 ～ VM14253881,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0132,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,17:30:34
,合計,,1,0,128,,
,,,,,,,
,TOTAL,,,,128,現金付款,
,發票編號：,VM14253879 ～ VM14253879,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0133,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,17:36:13
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:36:13
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,17:36:13
,合計,,3,0,295,,
,,,,,,,
,TOTAL,,,,295,信用卡付款,
,發票編號：,VM14253880 ～ VM14253880,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0134,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0212,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub,1,0,284,AP 單品入帳,17:42:37
12,U0210,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub,1,0,281,AP 單品入帳,17:42:37
23,U0206,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub,1,0,270,AP 單品入帳,17:42:37
34,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,209,AP 單品入帳,17:42:37
44,U0209,6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub,1,0,251,AP 單品入帳,17:42:37
55,U0204,6吋鮪魚潛艇堡 6-Inch Tuna Sub,1,0,251,AP 單品入帳,17:42:37
,合計,,6,0,1546,,
,,,,,,,
,TOTAL,,,,1546,UberEats付款,
,發票編號：,VM14253882 ～ VM14253882,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0135,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,18:09:26
2,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,18:09:26
3,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,18:09:26
4,A081201,3塊鷹嘴豆泥餅,1,0,55,AP 單品入帳,18:09:26
5,A0814,餅乾1片,1,0,25,AP 單品入帳,18:09:26
,合計,,5,0,456,,
,,,,,,,
,TOTAL,,,,456,信用卡付款,
,發票編號：,VM14253886 ～ VM14253886,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0136,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050102,義大利經典堡12吋,1,0,243,AP 單品入帳,17:59:19
,合計,,1,0,243,,
,,,,,,,
,TOTAL,,,,243,信用卡付款,
,發票編號：,VM14253883 ～ VM14253883,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0137,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030105,厚切嫩牛沙拉,1,0,188,AP 單品入帳,18:03:25
2,A0814,餅乾1片,1,0,25,AP 單品入帳,18:03:25
,合計,,2,0,213,,
,,,,,,,
,TOTAL,,,,213,現金付款,
,發票編號：,VM14253884 ～ VM14253884,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0138,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,18:07:59
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,18:07:59
,合計,,2,0,164,,
,,,,,,,
,TOTAL,,,,164,信用卡付款,
